"Longitude","Latitude"
830140.000000002,-4249205
1090140,-4189205
1100140,-4139205
1110140,-4109205.00000001
1110140,-4179205
1140140,-4079204.99999999
1130140,-4169205
1140140,-4159205
1150140,-4069205
1160140,-4109205
1170140,-4099205
1170140,-4089205
1180140,-4109205
1190140,-4089205
1190140,-4099205
1190140,-4069205
1240140,-4069205
1240140,-4119204.99999999
1250140,-4059204.99999999
1260140,-3999205
1260140,-4119205.00000001
1260140,-4129205
1280140,-4009205
1280140,-4059205
1280140,-4069205
1290140,-3969205
1290140,-4049205
1290140,-4039205.00000001
1290140,-3999205
1300140,-4009205
1310140,-3959205
1310140,-4019205
1310140,-4029205
1310140,-4059205
1330140,-3969205.00000001
1340140,-3949205
1340140,-3959205
1340140,-3939205
1340140,-3969205
1340140,-3979205.00000001
1340140,-3929205
1340140,-3999205
1350140,-3949205
1350140,-3959205
1350140,-3989205
1370140,-4079205
1370140,-4119205
1380140,-4059205
1410140,-4019205
1490140,-3879205
1740140,-3339205
