longitude,latitude
141.915,-37.46
141.915,-37.46
141.915,-37.46
141.915,-37.46
141.915,-37.46
141.915,-37.46
142.3644,-36.8839
142.3644,-36.8839
142.3644444,-36.8838889
142.3667,-37.6
142.3667,-36.8833
142.3667,-36.8833
142.37,-36.9
142.37,-36.88
142.37,-36.87
142.3798333,-37.1470556
142.3798333,-37.1470556
142.3807333,-37.0207333
142.3807333,-37.0207333
142.3807333,-37.0207333
142.3833333,-37.4
142.3836,-36.8957
142.39425,-36.9159444
142.43,-37.13
142.4346692,-37.13184761
142.45,-36.9167
142.4667,-37.2
142.4667,-37.15
142.4667,-37.15
142.4667,-37.1167
142.4667,-36.9833
142.4833,-37.1667
142.4833,-37.1667
142.4997,-37.2667
142.5,-37.1667
142.5,-37.15
142.5167,-37.0667
142.5333,-37.1333
142.5333,-37.1167
142.55,-37.15
142.5768056,-37.26641667
142.6167,-37.2
144.1167,-38.4333
144.1667,-38.4
144.17,-38.4
144.25,-37.8667
144.2675,-37.8406
144.2675,-37.8406
144.268,-37.8406
145.30623,-37.86434
146.1667,-33.9667
146.2,-34.15
146.2167,-34.1667
146.2167,-34.0667
146.23,-34.12
146.2333,-34.1667
146.2333,-34.1167
146.2667,-34.1833
146.2667,-34.1833
146.2928,-34.1839
146.3167,-33.6333
146.3333,-33.7667
146.4333,-38.0167
146.6666667,-34.45
146.6667,-34.7
146.6667,-34.7
146.67,-34.47
146.7333,-37.75
146.8333,-37.8167
146.8667,-38.4
147.0667,-35.2667
147.07,-38.12
147.15,-38.35
147.35,-35.42
147.62,-34.15
147.95,-33.9
147.9667,-37.55
147.9833,-33.9
148.125,-35.25
148.13,-35.25
148.1333,-35.2583
148.2383,-25.0736
148.3208,-32.7708
148.3208,-32.7708
148.3336111,-32.67972222
148.334,-32.68
148.4167,-32.8333
148.434,-34.084
148.4341667,-34.08416667
148.4342,-34.0842
148.5,-33.17
148.5,-33.15
148.5333,-37.6
148.5333,-33.7667
148.5345763,-37.79845532
148.5345763,-37.79845532
148.5939,-32.4464
148.8167,-33.0667
148.87,-32.05
149.0167,-31.9167
149.0333,-34.8333
149.05,-34.15
149.0667,-34.1333
149.08,-23.92
149.08,-23.92
